NAME,TEAM,BYE,AGE,POS,POS_RANK,ADP
Kenny Stills,HOU,7,32,WR,WR65,161.5
Tre'Quan Smith,NO,11,28,WR,WR66,161.6
Randall Cobb,DAL,7,33,WR,WR67,161.7
Parris Campbell,IND,11,26,WR,WR68,162.3
DaeSean Hamilton,DEN,9,29,WR,WR69,162.5
Marquise Goodwin,SF,9,33,WR,WR70,163
DeVante Parker,MIA,10,31,WR,WR71,163.8
Marquise Brown,BAL,13,27,WR,WR72,163.9
Adam Humphries,TEN,7,31,WR,WR73,166.9
Quincy Enunwa,NYJ,7,32,WR,WR74,176
Albert Wilson,MIA,10,31,WR,WR75,177
Ted Ginn Jr.,NO,11,39,WR,WR76,178
Paul Richardson,WAS,14,32,WR,WR77,179
Marqise Lee,JAX,9,32,WR,WR78,180
Robert Foster,BUF,13,30,WR,WR79,182
Rashard Higgins,CLE,5,29,WR,WR80,183
Chris Conley,JAX,9,31,WR,WR81,185
Trey Quinn,WAS,14,28,WR,WR82,188
A.J. Brown,TEN,7,27,WR,WR83,189
David Moore,SEA,5,29,WR,WR84,191
Terry McLaurin,WAS,14,28,WR,WR85,192
Willie Snead IV,BAL,13,31,WR,WR86,193
Danny Amendola,DET,9,38,WR,WR87,194
Nelson Agholor,PHI,10,31,WR,WR88,196
Phillip Dorsett,NE,11,31,WR,WR89,197
Jaron Brown,SEA,5,34,WR,WR90,198
Taylor Gabriel,CHI,13,33,WR,WR91,199
Miles Boykin,BAL,13,27,WR,WR92,200
John Ross,CIN,7,28,WR,WR93,201
Justin Watson,TB,5,28,WR,WR94,203
DJ Chark,JAX,9,27,WR,WR95,204
Josh Doctson,MIN,13,31,WR,WR96,205
Travis Benjamin,LAC,5,34,WR,WR97,206
Jarius Wright,CAR,7,34,WR,WR98,207
Zay Jones,BUF,13,29,WR,WR99,208
Chris Moore,BAL,13,31,WR,WR100,214
Travis Kelce,KC,10,34,TE,TE1,17.1
George Kittle,SF,9,30,TE,TE2,28.3
Zach Ertz,PHI,10,33,TE,TE3,33.5
O.J. Howard,TB,5,29,TE,TE4,54.1
Evan Engram,NYG,13,29,TE,TE5,57.3
Hunter Henry,LAC,5,29,TE,TE6,63.3
Jared Cook,NO,11,37,TE,TE7,70.6
Vance McDonald,PIT,6,34,TE,TE8,75.1
David Njoku,CLE,5,28,TE,TE9,83.5
Austin Hooper,ATL,11,29,TE,TE10,95.4
Delanie Walker,TEN,7,39,TE,TE11,115.4
Eric Ebron,IND,11,31,TE,TE12,117.5
T.J. Hockenson,DET,9,27,TE,TE13,126.1
Mark Andrews,BAL,13,28,TE,TE14,142.1
