NAME,TEAM,POS,GP,PASS_YDS,PASS_TDS,INT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FPTSPG,TOTFPTS
Mike Boone,MIN,RB,16,0,0,0,273,3,3,17,0,3.1,50
Justice Hill,BAL,RB,16,0,0,0,225,2,8,70,0,3.1,49.5
Wayne Gallman,NYG,RB,10,0,0,0,110,2,11,102,1,4.8,48.2
Jeff Wilson Jr.,SF,RB,10,0,0,0,105,4,3,34,1,4.7,46.9
Bo Scarbrough,DET,RB,6,0,0,0,377,1,1,5,0,7.2,43.2
Mark Walton,MIA,RB,7,0,0,0,201,0,15,89,0,6,42
Jonathan Williams,IND,RB,9,0,0,0,235,1,5,59,0,4.5,40.4
Ameer Abdullah,MIN,RB,16,0,0,0,115,0,15,88,1,2.5,39.3
Dontrell Hilliard,CLE,RB,14,0,0,0,49,2,12,92,0,2.7,38.1
C.J. Ham,MIN,RB,16,0,0,0,17,0,17,149,1,2.4,37.6
Ito Smith,ATL,RB,7,0,0,0,106,1,11,87,0,5.2,36.3
Bilal Powell,NYJ,RB,13,0,0,0,229,0,7,33,0,2.6,33.2
Ty Montgomery II,NYJ,RB,16,0,0,0,103,0,13,90,0,2,32.3
Darwin Thompson,KC,RB,12,0,0,0,128,1,9,43,0,2.7,32.1
Myles Gaskin,MIA,RB,7,0,0,0,133,1,7,51,0,4.5,31.4
Justin Jackson,LAC,RB,7,0,0,0,200,0,9,22,0,4.5,31.2
Qadree Ollison,ATL,RB,8,0,0,0,50,4,1,7,0,3.8,30.7
T.J. Yeldon,BUF,RB,6,0,0,0,63,0,13,124,0,5,29.7
Reggie Bonnafon,CAR,RB,13,0,0,0,116,1,6,57,0,2.3,29.3
C.J. Prosise,SEA,RB,9,0,0,0,72,1,10,76,0,3.2,28.8
Travis Homer,SEA,RB,16,0,0,0,114,0,11,56,0,1.8,28
Wendell Smallwood,WAS,RB,15,0,0,0,81,0,9,64,0,1.6,23.5
Darrell Henderson Jr.,LAR,RB,13,0,0,0,147,0,4,37,0,1.7,22.4
Trey Edmunds,PIT,RB,11,0,0,0,92,0,6,48,0,1.8,20
Patrick Ricard,BAL,FB,16,0,0,0,0,0,8,47,1,1.2,18.7
Alec Ingold,LV,FB,16,0,0,0,17,0,6,44,1,1.1,18.1
Michael Thomas,NO,WR,16,0,0,0,-9,0,149,1725,9,23.4,374.6
Chris Godwin,TB,WR,14,0,0,0,8,0,86,1333,9,19.7,276.1
